番号,緯度,経度,住所,区ID,管理区,砂箱ID,用途,
1,43.071135 ,141.333018 ,北海道札幌市中央区北十一条西１４丁目１,01101,中央区,1,歩道用,
2,43.071051 ,141.333212 ,北海道札幌市中央区北十一条西１３丁目１,01101,中央区,1,歩道用,
3,43.070889 ,141.333084 ,北海道札幌市中央区北十一条西１５丁目２,01101,中央区,1,歩道用,
4,43.071002 ,141.332911 ,北海道札幌市中央区北十一条西１５丁目１,01101,中央区,1,歩道用,
5,43.066874 ,141.350579 ,北海道札幌市中央区北五条西３丁目,01101,中央区,2-1,歩道用,
6,43.066699 ,141.350761 ,北海道札幌市中央区北四条西３丁目,01101,中央区,2-2,歩道用,
7,43.066608 ,141.350676 ,北海道札幌市中央区北四条西３丁目,01101,中央区,2-3,歩道用,
8,43.066570 ,141.350404 ,北海道札幌市中央区北四条西４丁目,01101,中央区,2-4,歩道用,
9,43.066632 ,141.350259 ,北海道札幌市中央区北四条西４丁目,01101,中央区,2-5,歩道用,
10,43.066820 ,141.350163 ,北海道札幌市中央区北五条西４丁目,01101,中央区,2-6,歩道用,
11,43.065739 ,141.350894 ,北海道札幌市中央区北四条西３丁目,01101,中央区,3-1,歩道用,
12,43.065676 ,141.351029 ,北海道札幌市中央区北四条西３丁目,01101,中央区,3-2,歩道用,
13,43.065531 ,141.351057 ,北海道札幌市中央区北三条西３丁目,01101,中央区,3-3,歩道用,
14,43.065452 ,141.350970 ,北海道札幌市中央区北三条西３丁目,01101,中央区,3-4,歩道用,
15,43.065419 ,141.350718 ,北海道札幌市中央区北三条西４丁目,01101,中央区,3-5,歩道用,
16,43.065467 ,141.350592 ,北海道札幌市中央区北三条西４丁目,01101,中央区,3-6,歩道用,
17,43.065613 ,141.350556 ,北海道札幌市中央区北四条西４丁目,01101,中央区,3-7,歩道用,
18,43.065701 ,141.350650 ,北海道札幌市中央区北四条西４丁目,01101,中央区,3-8,歩道用,
19,43.064540 ,141.351196 ,北海道札幌市中央区北三条西３丁目,01101,中央区,4-1,歩道用,
20,43.064479 ,141.351338 ,北海道札幌市中央区北三条西３丁目,01101,中央区,4-2,歩道用,
21,43.064313 ,141.351380 ,北海道札幌市中央区北三条西３丁目,01101,中央区,4-3,歩道用,
22,43.064232 ,141.351277 ,北海道札幌市中央区北三条西３丁目,01101,中央区,4-4,歩道用,
23,43.064198 ,141.351033 ,北海道札幌市中央区北三条西４丁目,01101,中央区,4-5,歩道用,
24,43.064254 ,141.350919 ,北海道札幌市中央区北三条西４丁目,01101,中央区,4-6,歩道用,
25,43.064410 ,141.350877 ,北海道札幌市中央区北三条西４丁目,01101,中央区,4-7,歩道用,
26,43.064521 ,141.350949 ,北海道札幌市中央区北三条西４丁目,01101,中央区,4-8,歩道用,
27,43.063327 ,141.351509 ,北海道札幌市中央区北二条西３丁目,01101,中央区,5-1,歩道用,
28,43.063277 ,141.351633 ,北海道札幌市中央区北二条西３丁目,01101,中央区,5-2,歩道用,
29,43.063159 ,141.351658 ,北海道札幌市中央区北二条西３丁目,01101,中央区,5-3,歩道用,
30,43.063082 ,141.351567 ,北海道札幌市中央区北一条西３丁目,01101,中央区,5-4,歩道用,
31,43.063047 ,141.351318 ,北海道札幌市中央区北一条西４丁目,01101,中央区,5-5,歩道用,
32,43.063096 ,141.351191 ,北海道札幌市中央区北二条西４丁目,01101,中央区,5-6,歩道用,
33,43.063212 ,141.351163 ,北海道札幌市中央区北二条西４丁目,01101,中央区,5-7,歩道用,
34,43.063290 ,141.351258 ,北海道札幌市中央区北二条西４丁目,01101,中央区,5-8,歩道用,
35,43.055604 ,141.351617 ,北海道札幌市中央区南四条西５丁目,01101,中央区,6-4,歩道用,
36,43.055634 ,141.351860 ,北海道札幌市中央区南四条西４丁目,01101,中央区,6-1,歩道用,
37,43.055297 ,141.351906 ,北海道札幌市中央区南四条西４丁目,01101,中央区,6-2,歩道用,
38,43.055279 ,141.351679 ,北海道札幌市中央区南四条西５丁目,01101,中央区,6-3,歩道用,
39,43.054481 ,141.353467 ,北海道札幌市中央区南五条西４丁目,01101,中央区,7-4,歩道用,
40,43.054517 ,141.353738 ,北海道札幌市中央区南五条西３丁目,01101,中央区,7-1,歩道用,
41,43.054352 ,141.353760 ,北海道札幌市中央区南五条西３丁目,01101,中央区,7-2,歩道用,
42,43.054324 ,141.353503 ,北海道札幌市中央区南五条西４丁目,01101,中央区,7-3,歩道用,
43,43.061175 ,141.353642 ,北海道札幌市中央区大通西２丁目,01101,中央区,8-1,歩道用,
44,43.060980 ,141.353704 ,北海道札幌市中央区大通西２丁目,01101,中央区,8-2,歩道用,
45,43.061004 ,141.353462 ,北海道札幌市中央区大通西３丁目,01101,中央区,8-3,歩道用,
46,43.061143 ,141.353433 ,北海道札幌市中央区大通西３丁目,01101,中央区,8-4,歩道用,
47,43.060617 ,141.353771 ,北海道札幌市中央区大通西２丁目,01101,中央区,9-1,歩道用,
48,43.060229 ,141.353865 ,北海道札幌市中央区大通西２丁目,01101,中央区,9-2,歩道用,
49,43.060207 ,141.353697 ,北海道札幌市中央区大通西３丁目,01101,中央区,9-3,歩道用,
50,43.060592 ,141.353598 ,北海道札幌市中央区大通西３丁目,01101,中央区,9-4,歩道用,
51,43.061359 ,141.354998 ,北海道札幌市中央区大通西２丁目,01101,中央区,10-1,歩道用,
52,43.061405 ,141.355287 ,北海道札幌市中央区大通西１丁目,01101,中央区,10-2,歩道用,
53,43.061167 ,141.355059 ,北海道札幌市中央区大通西２丁目,01101,中央区,10-3,歩道用,
54,43.060679 ,141.355449 ,北海道札幌市中央区大通西１丁目,01101,中央区,11-1,歩道用,
55,43.060530 ,141.355484 ,北海道札幌市中央区大通西１丁目,01101,中央区,11-2,歩道用,
56,43.060496 ,141.355226 ,北海道札幌市中央区大通西２丁目,01101,中央区,11-3,歩道用,
57,43.040335 ,141.355984 ,北海道札幌市中央区中島公園１,01101,中央区,12,歩道用,
58,43.040240 ,141.356208 ,北海道札幌市中央区南十五条西１丁目１,01101,中央区,12,歩道用,
59,43.040023 ,141.356153 ,北海道札幌市中央区南十六条西１丁目１,01101,中央区,12,歩道用,
60,43.040206 ,141.355954 ,北海道札幌市中央区南十五条西４丁目１,01101,中央区,12,歩道用,
61,43.048932 ,141.354878 ,北海道札幌市中央区南九条西４丁目１,01101,中央区,13,歩道用,
62,43.048965 ,141.355149 ,北海道札幌市中央区南九条西３丁目２,01101,中央区,13,歩道用,
63,43.048782 ,141.355182 ,北海道札幌市中央区南十条西３丁目１,01101,中央区,13,歩道用,
64,43.048746 ,141.354896 ,北海道札幌市中央区中島公園１,01101,中央区,13,歩道用,
65,43.056738 ,141.335199 ,北海道札幌市中央区南一条西１５丁目,01101,中央区,14,歩道用,
66,43.056764 ,141.335395 ,北海道札幌市中央区南一条西１４丁目,01101,中央区,14,歩道用,
67,43.056557 ,141.335441 ,北海道札幌市中央区南一条西１４丁目,01101,中央区,14,歩道用,
68,43.056542 ,141.335107 ,北海道札幌市中央区南一条西１５丁目,01101,中央区,14,歩道用,
69,43.057294 ,141.330227 ,北海道札幌市中央区大通西１８丁目,01101,中央区,15,歩道用,
70,43.057327 ,141.330443 ,北海道札幌市中央区大通西１７丁目,01101,中央区,15,歩道用,
71,43.057109 ,141.330471 ,北海道札幌市中央区大通西１７丁目,01101,中央区,15,歩道用,
72,43.057090 ,141.330295 ,北海道札幌市中央区大通西１８丁目,01101,中央区,15,歩道用,
73,43.055333 ,141.315768 ,北海道札幌市中央区大通西２８丁目１,01101,中央区,16,歩道用,
74,43.055402 ,141.316105 ,北海道札幌市中央区大通西２７丁目１,01101,中央区,16,歩道用,
75,43.055172 ,141.316145 ,北海道札幌市中央区南一条西２７丁目１,01101,中央区,16,歩道用,
76,43.055159 ,141.315823 ,北海道札幌市中央区南一条西２８丁目１,01101,中央区,16,歩道用,
77,43.061901 ,141.314230 ,北海道札幌市中央区北五条西２８丁目１,01101,中央区,17-1,歩道用,
78,43.061936 ,141.314538 ,北海道札幌市中央区北五条西２７丁目２,01101,中央区,17-4,歩道用,
79,43.061763 ,141.314587 ,北海道札幌市中央区北四条西２７丁目３,01101,中央区,17-3,歩道用,
80,43.061730 ,141.314266 ,北海道札幌市中央区北四条西２８丁目１,01101,中央区,17-2,歩道用,
81,43.063488 ,141.353049 ,北海道札幌市中央区北二条西２丁目,01101,中央区,18-1,歩道用,
82,43.063341 ,141.353087 ,北海道札幌市中央区北一条西２丁目,01101,中央区,18-2,歩道用,
83,43.063318 ,141.352894 ,北海道札幌市中央区北一条西３丁目,01101,中央区,18-3,歩道用,
84,43.063667 ,141.354425 ,北海道札幌市中央区北二条西２丁目,01101,中央区,19,歩道用,
85,43.063707 ,141.354698 ,北海道札幌市中央区北二条西１丁目,01101,中央区,19,歩道用,
86,43.063520 ,141.354457 ,北海道札幌市中央区北一条西２丁目,01101,中央区,19,歩道用,
87,43.063555 ,141.354728 ,北海道札幌市中央区北一条西１丁目,01101,中央区,19,歩道用,
88,43.060752 ,141.350289 ,北海道札幌市中央区大通西５丁目,01101,中央区,20,歩道用,
89,43.060777 ,141.350516 ,北海道札幌市中央区大通西４丁目,01101,中央区,20,歩道用,
90,43.060631 ,141.350545 ,北海道札幌市中央区大通西４丁目,01101,中央区,20,歩道用,
91,43.060603 ,141.350349 ,北海道札幌市中央区大通西５丁目,01101,中央区,20,歩道用,
92,43.059995 ,141.350491 ,北海道札幌市中央区大通西５丁目,01101,中央区,21,歩道用,
93,43.060025 ,141.350705 ,北海道札幌市中央区大通西４丁目,01101,中央区,21,歩道用,
94,43.059873 ,141.350729 ,北海道札幌市中央区大通西４丁目,01101,中央区,21,歩道用,
95,43.059845 ,141.350538 ,北海道札幌市中央区大通西５丁目,01101,中央区,21,歩道用,
96,43.058856 ,141.350784 ,北海道札幌市中央区南一条西５丁目,01101,中央区,22,歩道用,
97,43.058881 ,141.350985 ,北海道札幌市中央区南一条西４丁目,01101,中央区,22,歩道用,
98,43.058721 ,141.351040 ,北海道札幌市中央区南一条西４丁目,01101,中央区,22,歩道用,
99,43.058712 ,141.350855 ,北海道札幌市中央区南一条西５丁目,01101,中央区,22,歩道用,
100,43.057697 ,141.351103 ,北海道札幌市中央区南二条西５丁目,01101,中央区,23,歩道用,
101,43.057720 ,141.351312 ,北海道札幌市中央区南二条西４丁目,01101,中央区,23,歩道用,
102,43.057582 ,141.351334 ,北海道札幌市中央区南二条西４丁目,01101,中央区,23,歩道用,
103,43.057555 ,141.351142 ,北海道札幌市中央区南二条西５丁目,01101,中央区,23,歩道用,
104,43.058117 ,141.354213 ,北海道札幌市中央区南二条西３丁目,01101,中央区,24-4,歩道用,
105,43.058145 ,141.354434 ,北海道札幌市中央区南二条西２丁目,01101,中央区,24-1,歩道用,
106,43.058003 ,141.354458 ,北海道札幌市中央区南二条西２丁目,01101,中央区,24-2,歩道用,
107,43.057990 ,141.354252 ,北海道札幌市中央区南二条西３丁目,01101,中央区,24-3,歩道用,
108,43.058334 ,141.355813 ,北海道札幌市中央区南二条西２丁目,01101,中央区,25,歩道用,
109,43.058364 ,141.356023 ,北海道札幌市中央区南二条西１丁目,01101,中央区,25,歩道用,
110,43.058213 ,141.356056 ,北海道札幌市中央区南二条西１丁目,01101,中央区,25,歩道用,
111,43.058192 ,141.355854 ,北海道札幌市中央区南二条西２丁目,01101,中央区,25,歩道用,
112,43.056332 ,141.349802 ,北海道札幌市中央区南三条西６丁目,01101,中央区,26,歩道用,
113,43.056360 ,141.350008 ,北海道札幌市中央区南三条西５丁目,01101,中央区,26,歩道用,
114,43.056214 ,141.350027 ,北海道札幌市中央区南三条西５丁目,01101,中央区,26,歩道用,
115,43.056190 ,141.349836 ,北海道札幌市中央区南三条西６丁目,01101,中央区,26,歩道用,
116,43.056547 ,141.351395 ,北海道札幌市中央区南三条西５丁目,01101,中央区,27,歩道用,
117,43.056572 ,141.351597 ,北海道札幌市中央区南三条西４丁目,01101,中央区,27,歩道用,
118,43.056440 ,141.351624 ,北海道札幌市中央区南三条西４丁目,01101,中央区,27,歩道用,
119,43.056407 ,141.351433 ,北海道札幌市中央区南三条西５丁目,01101,中央区,27,歩道用,
120,43.056970 ,141.354516 ,北海道札幌市中央区南三条西３丁目,01101,中央区,28-4,歩道用,
121,43.057006 ,141.354716 ,北海道札幌市中央区南三条西２丁目,01101,中央区,28-1,歩道用,
122,43.056852 ,141.354749 ,北海道札幌市中央区南三条西２丁目,01101,中央区,28-2,歩道用,
123,43.056846 ,141.354553 ,北海道札幌市中央区南三条西３丁目,01101,中央区,28-3,歩道用,
124,43.057177 ,141.356100 ,北海道札幌市中央区南三条西２丁目,01101,中央区,29,歩道用,
125,43.057205 ,141.356303 ,北海道札幌市中央区南三条西１丁目,01101,中央区,29,歩道用,
126,43.057068 ,141.356338 ,北海道札幌市中央区南三条西１丁目,01101,中央区,29,歩道用,
127,43.057048 ,141.356149 ,北海道札幌市中央区南三条西２丁目,01101,中央区,29,歩道用,
128,43.054267 ,141.351958 ,北海道札幌市中央区南五条西５丁目,01101,中央区,30-4,歩道用,
129,43.054289 ,141.352141 ,北海道札幌市中央区南五条西４丁目,01101,中央区,30-1,歩道用,
130,43.054143 ,141.352168 ,北海道札幌市中央区南五条西４丁目,01101,中央区,30-2,歩道用,
131,43.054127 ,141.352005 ,北海道札幌市中央区南五条西５丁目,01101,中央区,30-3,歩道用,
132,43.054679 ,141.355029 ,北海道札幌市中央区南五条西３丁目,01101,中央区,31,歩道用,
133,43.054712 ,141.355267 ,北海道札幌市中央区南五条西２丁目,01101,中央区,31,歩道用,
134,43.054568 ,141.355300 ,北海道札幌市中央区南五条西２丁目,01101,中央区,31,歩道用,
135,43.054537 ,141.355070 ,北海道札幌市中央区南五条西３丁目,01101,中央区,31,歩道用,
136,43.054899 ,141.356671 ,北海道札幌市中央区南五条西２丁目,01101,中央区,32,歩道用,
137,43.054926 ,141.356857 ,北海道札幌市中央区南五条西１丁目,01101,中央区,32,歩道用,
138,43.054781 ,141.356928 ,北海道札幌市中央区南五条西１丁目,01101,中央区,32,歩道用,
139,43.054759 ,141.356695 ,北海道札幌市中央区南五条西２丁目,01101,中央区,32,歩道用,
140,43.053362 ,141.354012 ,北海道札幌市中央区南六条西３丁目,01101,中央区,33,歩道用,
141,43.053202 ,141.354051 ,北海道札幌市中央区南六条西３丁目,01101,中央区,33,歩道用,
142,43.053171 ,141.353826 ,北海道札幌市中央区南六条西４丁目,01101,中央区,33,歩道用,
143,43.053315 ,141.353779 ,北海道札幌市中央区南六条西４丁目,01101,中央区,33,歩道用,
144,43.052173 ,141.354074 ,北海道札幌市中央区南七条西４丁目,01101,中央区,34,歩道用,
145,43.052204 ,141.354309 ,北海道札幌市中央区南七条西３丁目,01101,中央区,34,歩道用,
146,43.052057 ,141.354344 ,北海道札幌市中央区南七条西３丁目,01101,中央区,34,歩道用,
147,43.052028 ,141.354102 ,北海道札幌市中央区南七条西４丁目,01101,中央区,34,歩道用,
148,43.068301 ,141.377543 ,北海道札幌市中央区北三条東１３丁目,01101,中央区,35,歩道用,
149,43.068393 ,141.377863 ,北海道札幌市中央区北三条東１３丁目,01101,中央区,35,歩道用,
150,43.068238 ,141.377941 ,北海道札幌市中央区北三条東１３丁目,01101,中央区,35,歩道用,
151,43.068136 ,141.377622 ,北海道札幌市中央区北三条東１３丁目,01101,中央区,35,歩道用,
152,43.057797 ,141.315199 ,北海道札幌市中央区北一条西２８丁目７,01101,中央区,36,歩道用,
153,43.057810 ,141.315514 ,北海道札幌市中央区北一条西２７丁目５,01101,中央区,36,歩道用,
154,43.057635 ,141.315547 ,北海道札幌市中央区北一条西２７丁目２,01101,中央区,36,歩道用,
